,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
12,B1_04/16_7,80 -- 95,RC,RG,2~3,1259.1,6295.5,RG6175,,
13,,,,,,,,B1_45/15_1,,
14,,,,,,,,,,
15,,,,,TOTAL,7544.4,37722.0,,,
0,B1_07/16_1,0 -- 16,RC,RG,2~3,1255.0,6275.0,RG6175,,
1,,,,,,,,B1_47/15_7,,
2,B1_07/16_2,16 -- 29,RC,RG,2~3,1002.4,5012.0,RG22255,,
3,,,,,,,,,,
4,B1_07/16_3,29 -- 39,RC,RD,10,777.9,3889.5,RD10RC,,
5,,,,,,,,,,
6,B1_07/16_4,39 -- 49,RC,SQ,5,905.4,4527.0,SQ5RC,,
7,,,,,,,,Ni - 39,,
8,B1_07/16_5,49 -- 63,RC,RD,12,1190.6,5953.0,RD12RC,,
9,,,,,,,,,,
10,B1_07/16_6,63 -- 75,RC,RG,2~3,817.7,4088.5,RG22255,,
11,,,,,,,,,,
12,B1_07/16_7,75 -- 85,RC,RG,2~3,704.9,3524.5,RG22255,,
13,,,,,,,,,,
14,B1_07/16_8,85 -- 100,RC,RG,2~3,1253.6,6268.0,RG6175,,
15,,,,,,,,B1_47/15_1,,
16,,,,,,,,,,
17,,,,,TOTAL,7907.5,39537.5,,,
0,D1_07/16_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_07/16_2,18 -- 31,RC,RG,2~3,1010.3,5051.5,RG22255,,
3,,,,,,,,,,
4,D1_07/16_3,31 -- 41,RC,CU,10*8,766.9,3834.5,CU10X8RC,,
5,,,,,,,,,,
6,D1_07/16_4,41 -- 51,RC,CU,10*8,905.2,4526.0,CU10X8RC,,
7,,,,,,,,Ni - 41,,
8,D1_07/16_5,51 -- 60,RC,CU,10*8,798.7,3993.5,CU10X8RC,,
9,,,,,,,,,,
10,D1_07/16_6,60 -- 71,RC,RG,2~3,805.9,4029.5,RG22255,,
11,,,,,,,,,,
12,D1_07/16_7,71 -- 81,RC,RG,2~3,771.7,3858.5,RG22255,,
13,,,,,,,,,,
